instance_name,makespan,runtime_seconds,status,lower_bound
100j_10m_001.fjs,941.0,3601.5,FEASIBLE,-1
100j_10m_002.fjs,883.0,3601.4,FEASIBLE,-1
100j_10m_003.fjs,979.0,3601.2,FEASIBLE,-1
100j_10m_004.fjs,921.0,3601.5,FEASIBLE,-1
100j_10m_005.fjs,919.0,3602.0,FEASIBLE,-1
100j_10m_006.fjs,879.0,3601.7,FEASIBLE,-1
100j_10m_007.fjs,944.0,3601.4,FEASIBLE,-1
100j_10m_008.fjs,925.0,3601.7,FEASIBLE,-1
100j_10m_009.fjs,998.0,3601.4,FEASIBLE,-1
100j_10m_010.fjs,948.0,3601.8,FEASIBLE,-1
100j_10m_011.fjs,934.0,3604.1,FEASIBLE,-1
100j_10m_012.fjs,943.0,3611.5,FEASIBLE,-1
100j_10m_013.fjs,950.0,3605.8,FEASIBLE,-1
100j_10m_014.fjs,919.0,3601.7,FEASIBLE,-1
100j_10m_015.fjs,955.0,3601.4,FEASIBLE,-1
100j_10m_016.fjs,891.0,3601.4,FEASIBLE,-1
100j_10m_017.fjs,952.0,3601.3,FEASIBLE,-1
100j_10m_018.fjs,961.0,3601.5,FEASIBLE,-1
100j_10m_019.fjs,959.0,3601.4,FEASIBLE,-1
100j_10m_020.fjs,960.0,3601.7,FEASIBLE,-1
100j_10m_021.fjs,947.0,3606.6,FEASIBLE,-1
100j_10m_022.fjs,968.0,3601.4,FEASIBLE,-1
100j_10m_023.fjs,903.0,3601.4,FEASIBLE,-1
100j_10m_024.fjs,988.0,3601.3,FEASIBLE,-1
100j_10m_025.fjs,926.0,3601.6,FEASIBLE,-1
100j_10m_026.fjs,956.0,3601.5,FEASIBLE,-1
100j_10m_027.fjs,947.0,3601.6,FEASIBLE,-1
100j_10m_028.fjs,934.0,3601.4,FEASIBLE,-1
100j_10m_029.fjs,965.0,3601.5,FEASIBLE,-1
100j_10m_030.fjs,920.0,3601.2,FEASIBLE,-1
100j_10m_031.fjs,897.0,3608.2,FEASIBLE,-1
100j_10m_032.fjs,967.0,3605.7,FEASIBLE,-1
100j_10m_033.fjs,900.0,3602.0,FEASIBLE,-1
100j_10m_034.fjs,946.0,3601.7,FEASIBLE,-1
100j_10m_035.fjs,939.0,3601.6,FEASIBLE,-1
100j_10m_036.fjs,981.0,3601.8,FEASIBLE,-1
100j_10m_037.fjs,888.0,3603.9,FEASIBLE,-1
100j_10m_038.fjs,936.0,3601.9,FEASIBLE,-1
100j_10m_039.fjs,936.0,3601.5,FEASIBLE,-1
100j_10m_040.fjs,975.0,3602.2,FEASIBLE,-1
100j_10m_041.fjs,928.0,3601.2,FEASIBLE,-1
100j_10m_042.fjs,930.0,3601.4,FEASIBLE,-1
100j_10m_043.fjs,929.0,3606.7,FEASIBLE,-1
100j_10m_044.fjs,962.0,3601.4,FEASIBLE,-1
100j_10m_045.fjs,930.0,3601.5,FEASIBLE,-1
100j_10m_046.fjs,930.0,3601.3,FEASIBLE,-1
100j_10m_047.fjs,946.0,3602.9,FEASIBLE,-1
100j_10m_048.fjs,945.0,3601.3,FEASIBLE,-1
100j_10m_049.fjs,973.0,3601.5,FEASIBLE,-1
100j_10m_050.fjs,939.0,3601.5,FEASIBLE,-1
100j_10m_051.fjs,935.0,3601.4,FEASIBLE,-1
100j_10m_052.fjs,932.0,3601.5,FEASIBLE,-1
100j_10m_053.fjs,973.0,3601.3,FEASIBLE,-1
100j_10m_054.fjs,966.0,3606.3,FEASIBLE,-1
100j_10m_055.fjs,900.0,3605.7,FEASIBLE,-1
100j_10m_056.fjs,924.0,3601.8,FEASIBLE,-1
100j_10m_057.fjs,942.0,3601.4,FEASIBLE,-1
100j_10m_058.fjs,952.0,3601.7,FEASIBLE,-1
100j_10m_059.fjs,949.0,3601.4,FEASIBLE,-1
100j_10m_060.fjs,950.0,3601.8,FEASIBLE,-1
100j_10m_061.fjs,955.0,3601.6,FEASIBLE,-1
100j_10m_062.fjs,931.0,3601.3,FEASIBLE,-1
100j_10m_063.fjs,931.0,3601.3,FEASIBLE,-1
100j_10m_064.fjs,956.0,3601.3,FEASIBLE,-1
100j_10m_065.fjs,909.0,3601.4,FEASIBLE,-1
100j_10m_066.fjs,949.0,3601.3,FEASIBLE,-1
100j_10m_067.fjs,981.0,3606.0,FEASIBLE,-1
100j_10m_068.fjs,960.0,3603.9,FEASIBLE,-1
100j_10m_069.fjs,904.0,3603.6,FEASIBLE,-1
